label,sample,height,del13C,del18O,lab,biozone,biozone label,reference,locality,geographic location,standard material,temperature during sample digestion ,reference,sample material,external repr. del13C,external repr. del18O,latitude,longitude
Baghuk mt. J,195,195,-0.86,-4.99,MfN,H. parvus,H,new,Baghuk,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.565,52.441
Baghuk mt. J,205,205,-1.08,-4.64,MfN,H. parvus,H,new,Baghuk,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.565,52.441
Baghuk mt. J,225,225,-1.02,-7.46,MfN,H. parvus,H,new,Baghuk,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.565,52.441
Baghuk mt. J,225,225,-1.49,-6.42,MfN,H. parvus,H,new,Baghuk,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.565,52.441
Baghuk mt. J,255,255,-0.83,-6.96,MfN,H. parvus,H,new,Baghuk,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.565,52.441
Baghuk mt. J,270,270,1.01,-6.32,MfN,H. parvus,H,new,Baghuk,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.565,52.441
Baghuk mt. J,275,275,-0.34,-7.16,MfN,H. parvus,H,new,Baghuk,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.565,52.441
Aras Valley,540,540,-0.01,-6.05,MfN,NA,NA,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,495,495,-0.13,-6.31,MfN,NA,NA,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,485,485,0.04,-5.96,MfN,NA,NA,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,465,465,0,-5.98,MfN,NA,NA,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,450,450,0.08,-5.87,MfN,NA,NA,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,430,430,0.11,-6.3,MfN,NA,NA,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,410,410,-0.3,-5.93,MfN,NA,NA,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,380,380,-0.24,-6.52,MfN,NA,NA,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,340,340,-0.09,-6.28,MfN,H. parvus,H,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,325,325,-0.44,-6.22,MfN,H. parvus,H,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,315,315,-0.47,-6.17,MfN,H. parvus,H,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,310,310,-0.71,-5.77,MfN,H. parvus,H,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,302,302,-0.9,-5.75,MfN,H. parvus,H,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,280-295,287.5,-0.5,-4.27,University of Copenhagen,H. parvus,H,new,Aras,Iran,NA,70,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,265,265,-0.29,-3.46,University of Copenhagen,H. parvus,H,new,Aras,Iran,NA,70,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,250-260,255,-0.27,-3.34,University of Copenhagen,H. parvus,H,new,Aras,Iran,NA,70,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,237-250,243.5,-1.12,-5.5,MfN,H. parvus,H,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,227,227,-0.52,-4.76,MfN,M. ultima - S. ?mostleri,G,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,222,222,-0.96,-5.76,MfN,M. ultima - S. ?mostleri,G,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,213,213,-0.19,-4.84,MfN,M. ultima - S. ?mostleri,G,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,200,200,-0.66,-5.77,MfN,M. ultima - S. ?mostleri,G,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,190-200,195,-0.33,-4.05,MfN,H. praeparvus - H.changxingensis,G,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,180-190,185,-0.23,-4.31,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,70,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,162-180,166,-0.03,-3.06,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,70,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,155,155,-0.25,-5.56,MfN,H. praeparvus - H.changxingensis,G,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,71,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,143-150,146.5,-0.04,-5.8,MfN,H. praeparvus - H.changxingensis,G,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,132-140,136,0.23,-3.4,MfN,H. praeparvus - H.changxingensis,G,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,120-130,125,-0.05,-3.67,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,70,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,113-118,115.5,0.15,-3.47,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,70,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,95-110,102.5,0,-3.04,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,70,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,80-95,87.5,0.41,-3.29,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,70,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,70-80,75,0.7,-3.24,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,71,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,55-70,62.5,0.73,-3.37,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,72,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,40-55,47.5,0.88,-3.1,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,73,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,20-35,27.5,1.02,-3.14,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,74,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,Oct-20,15,0.81,-4.44,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,75,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,0-10,5,0.86,-3.94,University of Copenhagen,H. praeparvus - H.changxingensis,G,new,Aras,Iran,NA,76,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,0,0,0.8,-6.25,MfN,C. hauschkei,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-3,-3,1.19,-6.19,MfN,C. hauschkei,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-5,-5,1.51,-6.21,MfN,C. hauschkei,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-7,-7,1.58,-6.05,MfN,C. hauschkei,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-9,-9,1.47,-6.15,MfN,C. hauschkei,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-11,-11,1.44,-6.26,MfN,C. hauschkei,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-13,-13,1.37,-6.3,MfN,C. hauschkei,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-34,-17,2,-5.22,University of Copenhagen,C. abadehensis,F,new,Aras,Iran,NA,76,VPDB,micrite bulk carbonate,0.1,0.2,39.015,45.434
Aras Valley,-44,-22,2.05,-5.25,MfN,C. abadehensis,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-53,-26.5,2.04,-5.65,MfN,C. abadehensis,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-59,-29.5,1.9,-5.76,MfN,C. abadehensis,F,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-70,-35,1.96,-5.71,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-90,-45,2.15,-5.61,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-70,-70,3.09,-4.84,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-110,-110,2.71,-4.83,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-125,-125,3.12,-3.42,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-125,-125,2.8,-4.85,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-145,-145,3.03,-4.95,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-175,-175,2.87,-4.68,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-200,-200,3.11,-4.89,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-220,-220,3.59,-5.61,MfN,C. yini,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-245,-245,3.25,-5.24,MfN,C. nodosa,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-270,-270,3.3,-4.99,MfN,C. nodosa,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-285,-285,3.11,-5.38,MfN,C. nodosa,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-295,-295,3.2,-5.23,MfN,C. nodosa,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-310,-310,3.19,-5.23,MfN,C. nodosa,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-330,-330,3.15,-4.68,MfN,C. nodosa,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-350,-350,2.95,-5.06,MfN,C. nodosa,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-365,-365,3,-4.83,MfN,C. bachmanni,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-380,-380,3.63,-5.18,MfN,C. bachmanni,E,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-420,-420,3.24,-4.92,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-455,-455,3.02,-5.24,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-480,-480,3.18,-4.75,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-505,-505,3.2,-4.64,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-525,-525,3.29,-4.29,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-540,-540,3.42,-5.05,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-565,-565,3.08,-5.03,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-645,-645,3.63,-5.36,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-710,-710,3.27,-5.55,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-775,-775,3.64,-5.84,MfN,C. chanxingensis,D,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-830,-830,4.09,-6.31,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-895,-895,4.04,-6.13,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-930,-930,4.04,-5.7,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-985,-985,4.26,-5.16,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1010,-1010,4.02,-5.01,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1035,-1035,3.89,-4.65,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1055,-1055,3.5,-4.02,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1085,-1085,3.6,-4.66,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1140,-1140,3.87,-5.76,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1225,-1225,3.69,-5.4,MfN,C. subcarinata,C,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1285,-1285,3.52,-5.42,MfN,C. orientalis - C. subcarinata int.,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1310,-1310,3.2,-5.83,MfN,C. orientalis - C. subcarinata int.,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1360,-1360,3.34,-6.03,MfN,C. orientalis - C. subcarinata int.,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1400,-1400,3.37,-4.82,MfN,C. orientalis - C. subcarinata int.,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1415,-1415,3.64,-5.62,MfN,C. orientalis - C. subcarinata int.,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1445,-1445,3.87,-5.68,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1470,-1470,3.5,-5.2,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1490,-1490,3.79,-5.05,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1510,-1510,3.77,-5.15,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1530,-1530,3.78,-5.76,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1565,-1565,3.96,-5.08,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1580,-1580,3.77,-5.07,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1600,-1600,4.06,-5.58,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1620,-1620,3.96,-5.18,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1665,-1665,3.85,-4.95,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1705,-1705,3.6,-5.18,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1800,-1800,3.76,-5.56,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1850,-1850,3.78,-5.66,MfN,C. orientalis,B,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1950,-1950,3.57,-5.16,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-1990,-1990,3.31,-4.12,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2100,-2100,3.23,-5.43,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2130,-2130,3.13,-5.25,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2165,-2165,2.88,-5.18,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2220,-2220,3.18,-5.48,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2255,-2255,3.05,-5.14,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2285,-2285,2.91,-5.17,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2295,-2295,3.41,-4.9,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2315,-2315,3.27,-4.7,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2365,-2365,3.04,-4.65,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2435,-2435,3.97,-3.37,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2520,-2520,3.38,-5.03,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2555,-2555,3.54,-4.84,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2580,-2580,3.38,-5.03,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2620,-2620,3.13,-4.94,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2690,-2690,3.29,-4.86,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2745,-2745,3.79,-4.6,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2790,-2790,3.41,-4.3,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2845,-2845,3.11,-4.54,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Aras Valley,-2905,-2905,2.89,-4.05,MfN,C. trancaucasica,A,new,Aras,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,39.015,45.434
Asadabad,61,-630,3.73,-4.79,MfN,C. orientalis,B,new,Asadabad,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.84789,52.1812
Asadabad,62,-595,2.97,-7.49,MfN,C. orientalis,B,new,Asadabad,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.84789,52.1812
Asadabad,63,-535,3.35,-4.78,MfN,C. orientalis - C. subcarinata int.,B,new,Asadabad,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.84789,52.1812
Asadabad,65,-470,3.31,-5.38,MfN,C. chanxingensis,D,new,Asadabad,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.84789,52.1812
Asadabad,66,-445,3.41,-5.77,MfN,C. chanxingensis,D,new,Asadabad,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.84789,52.1812
Asadabad,67,-420,2.75,-4,MfN,C. chanxingensis,D,new,Asadabad,Iran,Pfeil STD; Solnhofen Limestone,72,VPDB,micrite bulk carbonate,0.1,0.1,31.84789,52.1812
